account,amountUSD,asset,id
0x32fad04f422b28c60fe09957f6e281eab6119669,241645387.9510946572631830205495,LINK,0x8d3bc289f9fcdd9a1fadad8a3453907ac3753a7c0b7bee201968d118df71d19f6001000002000000
0x9600a48ed0f931d0c422d574e3275a90d8b22745,230100000,WETH,0x72d11abc16b8290088f60a8fa156624c8a07ea7eeb21d2c4004c542e875ac5b9f603000002000000
0x9600a48ed0f931d0c422d574e3275a90d8b22745,230100000,WETH,0x72d11abc16b8290088f60a8fa156624c8a07ea7eeb21d2c4004c542e875ac5b9c203000002000000
0x9600a48ed0f931d0c422d574e3275a90d8b22745,230100000,WETH,0x72d11abc16b8290088f60a8fa156624c8a07ea7eeb21d2c4004c542e875ac5b95e04000002000000
0x9600a48ed0f931d0c422d574e3275a90d8b22745,230100000,WETH,0x72d11abc16b8290088f60a8fa156624c8a07ea7eeb21d2c4004c542e875ac5b92a04000002000000
0x659195fb6c4d77cf116564cb6487d2effd60bce3,179057872.4199691421540501185745194,wstETH,0xe8315c3ca42a2cd3af65766ac87bda59ab823f5ce2e12ffabd8a095613c451321e01000002000000
0x349f847db0dc17c85ed1e9b876a25f97cad70cf2,150969004.27912785968066,USDe,0x90a978aeb90563d9d9b400b5d97aacd04eb925025a44de1a5c991c4b777f66b0ea00000002000000
0xba20c11a14c7f41589785cd6fc1809b03bd58ecb,123284015.941373553661228196191452,WETH,0xef576946c6e1ae49d9d56ea535544a4a4bc6bf35d7ef1a1ccc5eac8d231bb574a601000002000000
0x7a41e4b83294bc264b4f056e43068b7384aac701,109059359.7238648855557788753675968,USDe,0x5626b1e01b3349ac0e5fbfff6ee5b10e91ca0dc6cff9760d1068a8d908b0dcd8ab01000002000000
0xef992050dff61225ba6fb6018a106a6e2b2569a3,106455381.9219663783786896856320655,wstETH,0x85d121f9a1bc896918b6f8c58bd0520059fb713f256e2d0369ed433bd3531498cf01000002000000
0x33333aea097c193e66081e930c33020272b33333,106399207.92906,WETH,0x907bdf7226454b6c4135abddf978947d7138e9f2e75be05fa5b8bef6d0a0ffef2801000002000000
