WETH,weETH,USDT,wstETH,USDC,WBTC,cbBTC,USDe,sUSDe,RLUSD
3219.09284475812,3400.0456700795876,0.999959853288742,3827.071960938149,0.9999881876307739,92135.24168956316,92285.72465076321,0.9992053295954804,1.1419145678547118,0.9994008244316163
3269.1759954060667,3457.4736998025605,0.9997953369765451,3887.5559416871915,0.9999745918927159,94648.03308626874,94794.05760156986,0.9986004572721137,1.138372162829245,1.0001069406091083
3283.591322828503,3472.5044038148685,0.9996340523363286,3912.7533434606075,0.9999984731464708,94390.67095056218,94607.86419440937,0.9987544962264459,1.1404301609766163,0.9998973081314078
3264.070968533687,3452.216309306846,0.9994698581768867,3862.3970787743638,0.9999006483374144,94453.66299717233,94515.27961219246,1.000123071695429,1.1428125028237153,1.0016332931427305
3134.5520394596483,3316.223221019081,0.9995978203447057,3722.598921088814,0.9999424713385991,94508.29521045693,94300.20297869104,1.0003365467999086,1.1419007677175672,1.0015509936556575
3224.8006483414138,3411.1460419145205,0.9996681575058813,3840.965199446314,0.9999895984378816,96230.4556514686,96425.72771186834,0.9993992483152974,1.1440905798893712,0.999502986664582
3447.0340476747956,3640.0847087615143,1.0001113134599393,4095.8885477364684,0.9999999212517576,100025.64901670923,100306.55742180222,1.0012736955508252,1.147113852328472,1.0013936901142746
3309.4466139900196,3498.032098623145,0.9998760170916374,3919.8036543358353,0.999960841650655,99712.00726422352,100049.35401516967,1.0000633476455394,1.150139875628162,1.0012924130475156
3477.284285084809,3671.0824532166002,1.0003552067890709,4154.497007805485,0.9999989522305549,104075.43969360592,104161.2749309557,1.0002516051359294,1.146058474165617,0.9999280806466835
3309.0995676199964,3496.9711244524447,0.9988942493886789,3903.1784460899826,0.999927502683709,104100.81344716711,104392.78394877467,0.9989198248354707,1.145633124016135,0.999599908530489
3208.1365439891497,3385.727127613186,0.9987163453889023,3859.2727882321865,1.000080514082634,101000.86941848698,101552.01803626891,0.9987336817394615,1.147372550941754,1.0029771041725908
3263.069869880814,3452.9538685846983,0.9989676020056748,3885.55837010428,1.0000625695121996,102037.48367925787,102200.75511693499,0.9971897058536617,1.1455750429851979,0.9921273693201059
3326.0285404709143,3526.996728431786,1.0000391281404988,3953.810929776951,1.0000863480814257,105985.70631434866,106413.08091889408,1.0009375305187227,1.148885953139508,1.0022439253766646
3237.2996671291435,3417.5368795079607,0.999529529453576,3849.907385175321,0.9999930690811191,103672.63190348235,103894.85787259936,0.9971502633936699,1.1444713493124221,0.9998736204910034
3332.580893146162,3515.7057804382175,1.0002138512351193,3951.9244406796493,0.9999311676910557,103858.36268831104,104116.61728837313,0.9995441739317577,1.1462830271046207,1.0000498006606406
3311.8499838687,3508.4143977989434,0.999926517720557,3946.716633759216,0.9999049378084353,104496.79028298474,104677.35861630276,1.0004090760199955,1.1493017232259706,1.0006386534627718
3320.1314101789453,3510.2972798971527,0.9998308195080853,3959.966297927836,0.9999699334722717,104673.20686078384,104830.02300937123,1.000066314263827,1.1469931234930113,0.998613423142499
3232.2767744705584,3421.396028817437,0.9996182150055418,3866.040153255085,1.0000084536006284,102523.74191106067,102742.77721245824,0.9984043806245754,1.1466988566639003,0.9984371982960404
3173.5346079397173,3355.9575688363534,0.9998793042646281,3772.908250154839,1.0000886500965283,101984.70665282075,101835.38594249527,1.0008709056656198,1.149913330435138,1.0003341359383449
3076.4937692857234,3260.1537376516962,0.9993868651783552,3650.3118028630533,0.9999032635177072,101051.39817731557,101272.47194714074,1.0010725360313468,1.152016012822222,1.0002408809318797
3114.4358854363104,3294.8606281250786,0.9999851070048339,3730.4702560589953,0.9998995810038127,103421.7140581522,103740.91137557112,1.000106562477347,1.1471554707629095,0.9992034236977517
3248.249484352305,3442.457301497375,1.0000920569534553,3875.966117814277,1.000049413016127,104378.22402255994,104824.39964887674,0.9997395640279025,1.148443780902174,0.9989043798113753
3296.390634843652,3489.2340896385476,0.9997106059886262,3917.985458943456,0.9999984583215497,102358.49240194111,102376.8575768776,1.0014353694394316,1.1504776792476608,1.0010394516004535
3125.0386801320924,3292.7904544150574,0.9997524373355153,3706.2476121496875,1.0000172836955323,100620.1633688179,100653.70010742279,1.0010441849280318,1.149216492242353,1.0001637381397128
2862.6976188716285,3032.0068330261624,0.9997188116003191,3373.7391073044855,1.0000090178090109,97501.16526335917,97665.63043556272,0.9992668977634078,1.149170403014002,1.000385374097791
2877.8138239498767,3041.587315582604,1.0010450921652347,3437.989988974932,0.9999707442629723,101511.81256701465,101571.84586970432,1.0000848283980408,1.1461031262415908,0.9989759815601775
2740.3809762760143,2898.438340122586,1.000261479065075,3232.849782691721,0.9999754958591461,97976.91982261704,98082.96662326252,0.9999120740948735,1.1471272599225344,1.001536130604834
2790.5521609256075,2952.6093519732835,1.0000490560981923,3310.386970152348,1.0000064801411843,96513.21423759728,96638.61592667972,1.000475415457775,1.1498526392884876,0.9996593357822382
2686.662316793651,2840.7253932488757,1.0000773661564972,3205.3205834587575,0.9999990831756363,96586.05246757597,96574.2700760155,1.000124365382097,1.1490335796106144,1.0008835682869088
2623.4507017824767,2772.7654017492328,1.0002013848683518,3115.255137240742,0.9999954497601323,96328.520353603,96494.1165702033,1.0004724971634233,1.1495167974633065,1.0007574583314016
2635.6011418023404,2790.905758660264,1.0000525933192037,3144.4228391927973,0.9999951153314031,96363.7381570528,96520.84449099223,1.0001356099646488,1.151060604991829,1.0000966542227274
2632.5358220552475,2783.4127637840293,1.0001707328493536,3129.404178981988,0.9999982671246745,96305.81909216428,96534.22135824671,1.000288303073155,1.1525679833004474,1.0013468847058473
